id,location,latitude,longitude,year
OB19,Oberhofen Meier House,46.728491,7.66921,2023
ME01,Merligen,46.701034,7.735328,2023
ME02,Merligen,46.701034,7.735328,2023
ME03,Merligen,46.701034,7.735328,2023
ME04,Merligen,46.701034,7.735328,2023
ME05,Merligen,46.701034,7.735328,2023
ME06,Merligen,46.701034,7.735328,2023
ME07,Merligen,46.701034,7.735328,2023
ME08,Merligen,46.701034,7.735328,2023
ME09,Merligen,46.701034,7.735328,2023
UN12,Unterseen,46.682483,7.813341,2023
UN13,Unterseen,46.682483,7.813341,2023
UN14,Unterseen,46.682549,7.811807,2023
UN15,Unterseen,46.682549,7.811807,2023
UN16,Unterseen,46.682483,7.813341,2023
ME10,Merligen,46.698163,7.73907,2023
ME11,Merligen,46.699717,7.737051,2023
ME12,Merligen,46.700519,7.736213,2023
ME13,Merligen,46.700519,7.736213,2023
ME14,Merligen,46.700519,7.736213,2023
ME15,Merligen,46.700519,7.736213,2023
SP12,Spiez,46.689165,7.686967,2023
SP13,Spiez,46.689165,7.686967,2023
SP14,Spiez,46.689165,7.686967,2023
SP15,Spiez,46.689165,7.686967,2023
LE01,Leissigen,46.656268,7.778443,2023
LE02,Leissigen,46.656268,7.778443,2023
LE03,Leissigen,46.656268,7.778443,2023
LE04,Leissigen,46.656268,7.778443,2023
LE05,Leissigen,46.656268,7.778443,2023
LE06,Leissigen,46.656268,7.778443,2023
LE07,Leissigen,46.654955,7.773497,2023
LE09,Leissigen,46.654955,7.773497,2023
LE10,Leissigen,46.656129,7.776664,2023
LE11,Leissigen,46.656129,7.776664,2023
ST01,Brunnlisau Simmental,46.671149,7.610981,2023
ST02,Mattli Simmental,46.667614,7.58718,2023
BI01,Biasca,46.360108,8.973349,2023
BI02,Biasca,46.360108,8.973349,2023
BI03,Biasca,46.360108,8.973349,2023
BI04,Biasca,46.360108,8.973349,2023
BI05,Biasca,46.360108,8.973349,2023
BI06,Biasca,46.360319,8.972694,2023
BI07,Biasca,46.359938,8.973489,2023
BI08,Biasca,46.359938,8.973489,2023
BI09,Biasca,46.359938,8.973489,2023
BI10,Biasca,46.359938,8.973489,2023
LO01,Locarno,46.178083,8.797868,2023
LO02,Locarno,46.179499,8.801361,2023
LO03,Locarno,46.178808,8.799226,2023
LO04,Locarno,46.178808,8.799226,2023
LO05,Locarno,46.177569,8.798676,2023
LO06,Locarno,46.179423,8.801211,2023
LO07,Locarno,46.179423,8.801211,2023
LO08,Locarno,46.178483,8.800536,2023
LO09,Locarno,46.178301,8.799327,2023
BU01,Burgdorf,47.05911,7.630138,2023
BU02,Burgdorf,47.0549,7.62856,2023
BU03,Burgdorf,47.0549,7.62856,2023
BU04,Burgdorf,47.0549,7.62856,2023
BG01,Bern Botanical Garden,46.95358,7.444409,2023
BG02,Bern Botanical Garden,46.95358,7.444409,2023
BG03,Bern Botanical Garden,46.95258,7.445043,2023
BG04,Bern Botanical Garden,46.95258,7.445043,2023
BG05,Bern Botanical Garden,46.9535,7.44479,2023
BG06,Bern Botanical Garden,46.9535,7.44479,2023
BG07,Bern Botanical Garden,46.9535,7.44479,2023
BG08,Bern Botanical Garden,46.9535,7.44479,2023
BG09,Bern Botanical Garden,46.953528,7.44479,2023
BG10,Bern Botanical Garden,46.953528,7.44479,2023
HP01,Bern House of Parliament,46.945909,7.443872,2023
HP02,Bern House of Parliament,46.945909,7.443872,2023
HP03,Bern House of Parliament,46.945909,7.443872,2023
HP04,Bern House of Parliament,46.945909,7.443872,2023
HP05,Bern House of Parliament,46.945909,7.443872,2023
HP06,Bern House of Parliament,46.946032,7.44465,2023
HP07,Bern House of Parliament,46.945909,7.443872,2023
HP08,Bern House of Parliament,46.945909,7.443872,2023
HP09,Bern House of Parliament,46.945909,7.443872,2023
HP10,Bern House of Parliament,46.945909,7.443872,2023
BU05,Burgdorf,47.054396,7.628833,2023
BU06,Burgdorf,47.055119,7.628196,2023
BU07,Burgdorf,47.055119,7.628196,2023
BU08,Burgdorf,47.054926,7.628346,2023
BU09,Burgdorf,47.054926,7.628346,2023
BU10,Burgdorf,47.054821,7.628931,2023
RH01,Rheinfelden,47.563194,7.802808,2023
RH02,Rheinfelden,47.563194,7.802808,2023
RH03,Rheinfelden,47.563611,7.804722,2023
RH04,Rheinfelden,47.553361,7.790575,2023
RH05,Rheinfelden,47.553361,7.790575,2023
RH06,Rheinfelden,47.553361,7.790575,2023
RH07,Rheinfelden,47.563611,7.804722,2023
RH08,Rheinfelden,47.553361,7.790575,2023
RH09,Rheinfelden,47.553361,7.790575,2023
RH10,Rheinfelden,47.553361,7.790575,2023
BS01,Biberstein,47.41482,8.079073,2023
BS02,Biberstein,47.41482,8.079073,2023
BS03,Biberstein,47.41482,8.079073,2023
BS04,Biberstein,47.414818,8.07943,2023
BS05,Biberstein,47.414851,8.07833,2023
BS06,Biberstein,47.414994,8.081673,2023
BS07,Biberstein,47.414776,8.081666,2023
BS09,Biberstein,47.414793,8.080239,2023
BS10,Biberstein,47.415,8.078889,2023
BS11,Biberstein,47.414722,8.081667,2023
AA01,Aarau,47.396698,8.04731,2023
AA02,Aarau,47.396698,8.04731,2023
AA03,Aarau,47.396698,8.04731,2023
AA04,Aarau,47.396698,8.04731,2023
AA05,Aarau,47.396698,8.04731,2023
AA06,Aarau,47.400935,8.041606,2023
AA07,Aarau,47.402273,8.042964,2023
AA08,Aarau,47.400935,8.041606,2023
AA09,Aarau,47.400935,8.041606,2023
AA10,Aarau,47.400906,8.042428,2023
EI01,Einigen,46.71528,7.64025,2021
EI02,Einigen,46.71528,7.64025,2021
EI03,Einigen,46.71528,7.64025,2021
EI04,Einigen,46.71528,7.64025,2021
EI05,Einigen,46.71528,7.64025,2021
EI06,Einigen,46.71528,7.64025,2021
EI07,Einigen,46.71528,7.64025,2021
EI08,Einigen,46.71528,7.64025,2021
EI09,Einigen,46.71528,7.64025,2021
EI10,Einigen,46.71528,7.64025,2021
EI11,Einigen,46.71208,7.64335,2021
EI13,Einigen,46.71267,7.64387,2021
EI14,Einigen,46.71267,7.64387,2021
EI15,Einigen,46.71267,7.64387,2021
HB01,Hünibach,46.74378,7.64875,2021
HB02,Hünibach,46.74378,7.64875,2021
HB03,Hünibach,46.74378,7.64875,2021
HB04,Hünibach,46.74378,7.64875,2021
HB05,Hünibach,46.74378,7.64875,2021
HB06,Hünibach,46.74378,7.64875,2021
HB07,Hünibach,46.74378,7.64875,2021
HB08,Hünibach,46.74525,7.65119,2021
HB09,Hünibach,46.74525,7.65119,2021
HB10,Hünibach,46.74525,7.65119,2021
HB11,Hünibach,46.74525,7.65119,2021
HB12,Hünibach,46.74525,7.65119,2021
HB13,Hünibach,46.74525,7.65119,2021
HB14,Hünibach,46.74525,7.65119,2021
HB15,Hünibach,46.74525,7.65119,2021
OB02,Oberhofen,46.73223,7.66802,2021
OB03,Oberhofen,46.73223,7.66802,2021
OB04,Oberhofen,46.73223,7.66802,2021
OB06,Oberhofen,46.73223,7.66802,2021
OB07,Oberhofen,46.73223,7.66802,2021
OB08,Oberhofen,46.73223,7.66802,2021
OB09,Oberhofen,46.73223,7.66802,2021
OB10,Oberhofen,46.73223,7.66802,2021
OB11,Oberhofen,46.73223,7.66802,2021
OB12,Oberhofen,46.728491,7.66921,2021
OB13,Oberhofen,46.728491,7.66921,2021
OB14,Oberhofen,46.728491,7.66921,2021
OB15,Oberhofen,46.728491,7.66921,2021
OB16,Oberhofen,46.728491,7.66921,2021
OB17,Oberhofen,46.728491,7.66921,2021
OB18,Oberhofen,46.728491,7.66921,2021
SI01,Sigriswil,46.71717,7.7094,2021
SI02,Sigriswil,46.71717,7.7094,2021
SI03,Sigriswil,46.71717,7.7094,2021
SI04,Sigriswil,46.71717,7.7094,2021
SI05,Sigriswil,46.71717,7.7094,2021
SI06,Sigriswil,46.71717,7.7094,2021
SI07,Sigriswil,46.71717,7.7094,2021
SI08,Sigriswil,46.71717,7.7094,2021
SI09,Sigriswil,46.71717,7.7094,2021
SI10,Sigriswil,46.71717,7.7094,2021
SI11,Sigriswil,46.71625,7.72024,2021
SI12,Sigriswil,46.71625,7.72024,2021
SI13,Sigriswil,46.71625,7.72024,2021
SI14,Sigriswil,46.71625,7.72024,2021
SI15,Sigriswil,46.71625,7.72024,2021
SP01,Spiez,46.68929,7.68803,2021
SP02,Spiez,46.68929,7.68803,2021
SP04,Spiez,46.68929,7.68803,2021
SP05,Spiez,46.68929,7.68803,2021
SP06,Spiez,46.68929,7.68803,2021
SP07,Spiez,46.68929,7.68803,2021
SP08,Spiez,46.68929,7.68803,2021
SP09,Spiez,46.68929,7.68803,2021
SP10,Spiez,46.68929,7.68803,2021
SP11,Spiez,46.68929,7.68803,2021
UN01,Unterseen,46.68237,7.81408,2021
UN02,Unterseen,46.68237,7.81408,2021
UN03,Unterseen,46.68237,7.81408,2021
UN04,Unterseen,46.68237,7.81408,2021
UN05,Unterseen,46.68237,7.81408,2021
UN06,Unterseen,46.68237,7.81408,2021
UN07,Unterseen,46.68237,7.81408,2021
UN08,Unterseen,46.68237,7.81408,2021
UN09,Unterseen,46.68237,7.81408,2021
UN10,Unterseen,46.68237,7.81408,2021
UN11,Unterseen,46.68237,7.81408,2021
